individual,time,state,firms,year,n,id,group,treat_date,treat,te,e,y2,y
1,1980,1,0.00034372856960729337,1980,1,1,1,1986,0,10.030478413702284,0.1486865967529978,1.149030325322605,1.149030325322605
1,1981,1,0.00034372856960729337,1981,2,1,1,1986,0,9.976846265927817,-0.23870692018061926,1.761636808388988,1.761636808388988
1,1982,1,0.00034372856960729337,1982,3,1,1,1986,0,9.987339540656322,0.18853281844005892,3.188876547009666,3.188876547009666
1,1983,1,0.00034372856960729337,1983,4,1,1,1986,0,10.001580592858941,0.18126351369517477,4.181607242264782,4.181607242264782
1,1984,1,0.00034372856960729337,1984,5,1,1,1986,0,10.021217116710124,-0.48835528834094377,4.511988440228664,4.511988440228664
1,1985,1,0.00034372856960729337,1985,6,1,1,1986,0,10.014693787088724,0.12866427813131737,6.129008006700925,6.129008006700925
1,1986,1,0.00034372856960729337,1986,7,1,1,1986,1,9.983270598235078,0.3108464480798784,17.294460774884563,17.294460774884563
1,1987,1,0.00034372856960729337,1987,8,1,1,1986,1,9.965529248239914,-0.27618927080868816,17.68968370600083,27.655212954240746
1,1988,1,0.00034372856960729337,1988,9,1,1,1986,1,10.006348767519821,-0.03753942249638485,18.969153073593045,38.98185060863268
1,1989,1,0.00034372856960729337,1989,10,1,1,1986,1,10.033364621527486,0.16717705626317564,20.200885406360268,50.300979270942726
1,1990,1,0.00034372856960729337,1990,11,1,1,1986,1,10.006175465871873,-0.29271055019974784,20.713808644241734,60.738510507729224
1,1991,1,0.00034372856960729337,1991,12,1,1,1986,1,9.957260352510257,-0.03901886976230272,21.918585211317563,71.70488697386885
1,1992,1,0.00034372856960729337,1992,13,1,1,1986,1,10.0425056496206,0.24571391040392884,23.288563288594133,83.54359718631774
1,1993,1,0.00034372856960729337,1993,14,1,1,1986,1,9.99705987630525,-0.08672775278851803,23.91067585208634,93.89009498622309
1,1994,1,0.00034372856960729337,1994,15,1,1,1986,1,10.04313293292592,-0.11615781844322998,24.927318843052294,105.27238230645965
1,1995,1,0.00034372856960729337,1995,16,1,1,1986,1,9.972855162135874,0.34301645983822365,26.316215350543708,116.07191180976656
1,1996,1,0.00034372856960729337,1996,17,1,1,1986,1,9.977659675738508,-0.12183282952103908,26.856170574787075,126.63276733217215
1,1997,1,0.00034372856960729337,1997,18,1,1,1986,1,9.962941413281081,0.01292727493461352,27.976212416785305,137.5685679628772
1,1998,1,0.00034372856960729337,1998,19,1,1,1986,1,9.990759820146522,-0.3152453925810089,28.67585815613512,148.5649759978934
1,1999,1,0.00034372856960729337,1999,20,1,1,1986,1,10.105179041154296,-0.4230433950941347,29.68247937462977,161.0498069096356
1,2000,1,0.00034372856960729337,2000,21,1,1,1986,1,9.965664714476352,0.20507204994860345,31.171080492994562,170.6903864956635
1,2001,1,0.00034372856960729337,2001,22,1,1,1986,1,9.912464811551935,0.03946501242562506,31.95227355254717,180.6392457258262
1,2002,1,0.00034372856960729337,2002,23,1,1,1986,1,10.047722492754646,0.1327989763283144,33.18086519765257,193.9444250817269
1,2003,1,0.00034372856960729337,2003,24,1,1,1986,1,9.996715723717312,-0.173955661751601,33.82310379053532,203.76727109372965
1,2004,1,0.00034372856960729337,2004,25,1,1,1986,1,9.989116538149927,0.0033687023499263634,34.99282896906946,214.79692665576815
1,2005,1,0.00034372856960729337,2005,26,1,1,1986,1,9.930898877587383,0.05211861389243976,35.98336122004943,224.67043989420972
1,2006,1,0.00034372856960729337,2006,27,1,1,1986,1,9.964218622422571,0.1419833859306545,37.10654573692284,236.39091818537426
1,2007,1,0.00034372856960729337,2007,28,1,1,1986,1,9.959688485671109,0.03397445847314776,37.99400667271386,247.14746487180716
1,2008,1,0.00034372856960729337,2008,29,1,1,1986,1,9.990921580879517,-0.02222135370778394,38.96904395574134,258.76931873509074
1,2009,1,0.00034372856960729337,2009,30,1,1,1986,1,10.066060467053322,0.012609541498907827,40.07901373712184,271.5984044793483
2,1980,1,0.6551976572610363,1980,1,2,1,1986,0,10.03329507028288,0.08707652248126467,1.742274179742301,1.742274179742301
2,1981,1,0.6551976572610363,1981,2,2,1,1986,0,10.034853101733388,0.10786526556512262,2.7630629228261587,2.7630629228261587
2,1982,1,0.6551976572610363,1982,3,2,1,1986,0,9.997609931059651,0.15313566687728533,3.8083333241383213,3.8083333241383213
2,1983,1,0.6551976572610363,1983,4,2,1,1986,0,9.995200334303112,0.29334903941075474,4.948546696671791,4.948546696671791
2,1984,1,0.6551976572610363,1984,5,2,1,1986,0,10.080449834654866,0.3183784038148198,5.973576061075856,5.973576061075856
2,1985,1,0.6551976572610363,1985,6,2,1,1986,0,9.980170575432991,-0.04618862327323726,6.609009033987799,6.609009033987799
2,1986,1,0.6551976572610363,1986,7,2,1,1986,1,9.972950711826133,-0.37922316484176316,17.248925204245406,17.248925204245406
2,1987,1,0.6551976572610363,1987,8,2,1,1986,1,10.022397887568387,0.30935193970692965,18.98694748453635,29.00934537210474
2,1988,1,0.6551976572610363,1988,9,2,1,1986,1,10.047356052185403,-0.031530787712472745,19.671022921733968,39.76573502610478
2,1989,1,0.6551976572610363,1989,10,2,1,1986,1,9.980937247719018,0.04362443930761784,20.67975934428767,50.622571087444726
2,1990,1,0.6551976572610363,1990,11,2,1,1986,1,9.930361739135545,-0.03796873493004328,21.54759066146654,61.26903761800872
2,1991,1,0.6551976572610363,1991,12,2,1,1986,1,10.069412157732389,-0.007809309770616751,22.716800505222807,73.06386129388476
2,1992,1,0.6551976572610363,1992,13,2,1,1986,1,10.019772626213108,-0.09932857753017568,23.57564170594397,83.69427746322262
2,1993,1,0.6551976572610363,1993,14,2,1,1986,1,9.96056663167249,-0.11962865155326154,24.496135637380267,94.22010205908771
2,1994,1,0.6551976572610363,1994,15,2,1,1986,1,10.057304172185196,0.047506145854698714,25.76000797530093,106.2184413527825
2,1995,1,0.6551976572610363,1995,16,2,1,1986,1,9.96399392538841,0.38732032234181907,27.006511904991267,116.68245723348696
2,1996,1,0.6551976572610363,1996,17,2,1,1986,1,9.966193363594414,0.2878961095258683,27.90928713038132,127.57122076632547
2,1997,1,0.6551976572610363,1997,18,2,1,1986,1,9.957263971967949,-0.31307932784003545,28.299382301388952,137.8292859930364
2,1998,1,0.6551976572610363,1998,19,2,1,1986,1,9.991429966165546,-0.19180569505038672,29.454821928376195,149.35198152236273
2,1999,1,0.6551976572610363,1999,20,2,1,1986,1,9.9762097170047,-0.4633416012283019,30.168065773037437,159.8587920940985
2,2000,1,0.6551976572610363,2000,21,2,1,1986,1,9.928000450381742,0.1109372744713502,31.69413538211413,170.6861416874585
2,2001,1,0.6551976572610363,2001,22,2,1,1986,1,9.93901895410448,0.35757340235905216,32.95179001372457,182.03707432529177
2,2002,1,0.6551976572610363,2002,23,2,1,1986,1,10.002806035060944,-0.4513972417643707,33.206606450557615,193.25150301153272
2,2003,1,0.6551976572610363,2003,24,2,1,1986,1,10.01000412923036,0.25020059142381945,34.915402377915214,205.08547257483133
2,2004,1,0.6551976572610363,2004,25,2,1,1986,1,9.9763793607564,-0.013745766728818847,35.61783125128862,215.1926597449038
2,2005,1,0.6551976572610363,2005,26,2,1,1986,1,10.048504662737301,-0.07400662997959988,36.62969569001874,227.55128428202744
2,2006,1,0.6551976572610363,2006,27,2,1,1986,1,9.97552619514842,-0.30833850149440756,37.322385350915056,236.83290925388346
2,2007,1,0.6551976572610363,2007,28,2,1,1986,1,10.051677879646357,0.21951250740235406,38.92638804430975,250.01162351688325
2,2008,1,0.6551976572610363,2008,29,2,1,1986,1,9.99518974942514,-0.17288324896499302,39.477504157721185,259.37167864507427
2,2009,1,0.6551976572610363,2009,30,2,1,1986,1,9.977527479857777,0.0014377385600260672,40.63416287567884,270.1172949124077
3,1980,1,0.6820450779119153,1980,1,3,1,1986,0,9.935743589934788,0.16050022867611488,1.84254530658803,1.84254530658803
3,1981,1,0.6820450779119153,1981,2,3,1,1986,0,10.039198535339,-0.03496489677399193,2.647080181137923,2.647080181137923
3,1982,1,0.6820450779119153,1982,3,3,1,1986,0,9.988845536046687,0.03393975630030921,3.7159848342122244,3.7159848342122244
3,1983,1,0.6820450779119153,1983,4,3,1,1986,0,10.022302713463993,-0.09679420744294358,4.585250870468972,4.585250870468972
3,1984,1,0.6820450779119153,1984,5,3,1,1986,0,9.940864581577694,0.47615409161310196,6.158199169525018,6.158199169525018
3,1985,1,0.6820450779119153,1985,6,3,1,1986,0,9.967613769217188,-0.2166793531853797,6.465365724726536,6.465365724726536
3,1986,1,0.6820450779119153,1986,7,3,1,1986,1,9.962882802845504,-0.056842980941887014,17.588084899815534,17.588084899815534
3,1987,1,0.6820450779119153,1987,8,3,1,1986,1,9.914513262330194,0.10293199039563615,18.699490330637747,28.61400359296794
3,1988,1,0.6820450779119153,1988,9,3,1,1986,1,9.956750900184336,0.003654495217136246,19.64245047331339,39.55595227368205
3,1989,1,0.6820450779119153,1989,10,3,1,1986,1,9.994228329277538,-0.08090682910746044,20.595366578081997,50.578051565914606
3,1990,1,0.6820450779119153,1990,11,3,1,1986,1,10.044750897290909,0.2567677921385516,21.983563767341376,62.162567356505015
3,1991,1,0.6820450779119153,1991,12,3,1,1986,1,10.018073445400224,-0.6193417454359547,22.08077677787619,72.17114400487729
3,1992,1,0.6820450779119153,1992,13,3,1,1986,1,10.101039133614231,0.1552984226922167,23.93838263421836,84.54461743590373
3,1993,1,0.6820450779119153,1993,14,3,1,1986,1,9.975148467185301,0.43480862434164735,25.092002169438864,94.91804143973597
3,1994,1,0.6820450779119153,1994,15,3,1,1986,1,10.00656738694726,-0.2796115485135547,25.409000916345622,105.4615400119237
